"Iteration","cDp Monitor: cDp Monitor"
1.0,0.0
2.0,0.0528260583850187
3.0,0.08058446023084762
4.0,0.1047928115340675
5.0,0.12665968027236862
6.0,0.1459434108886602
7.0,0.16254797385854672
8.0,0.1765362334141919
9.0,0.18803556651133563
10.0,0.1972305221816127
11.0,0.2043479485307965
12.0,0.20964406304512653
13.0,0.2133408985464335
14.0,0.21560785055905324
15.0,0.21672300117544946
16.0,0.21697676964380008
17.0,0.2166224295056903
18.0,0.21587216142152812
19.0,0.21487929786743348
20.0,0.2137474038758594
21.0,0.21254077151501832
22.0,0.21128878778601032
23.0,0.20998813350372794
24.0,0.20860810255552542
25.0,0.20709441085427568
26.0,0.20537741760527273
27.0,0.2033767961125206
28.0,0.20100658819352715
29.0,0.19817725646483722
30.0,0.19479344622067357
31.0,0.19075764144890645
32.0,0.18597065459409268
33.0,0.18033418927099543
34.0,0.17376451637296234
35.0,0.16619050423065818
36.0,0.15739259343949072
37.0,0.14756774810152945
38.0,0.13674538338368547
39.0,0.1250063418288475
40.0,0.11247266401612663
41.0,0.0993239307271013
42.0,0.08581975220040783
43.0,0.07232166051002299
44.0,0.05922767030967284
45.0,0.04691677055294276
46.0,0.035715816429972826
47.0,0.02589345177393209
48.0,0.01762779331896499
49.0,0.010997426319907772
50.0,0.00597633412696841
51.0,0.0025826207468403056
52.0,4.953476508744985E-4
53.0,-5.210945148940316E-4
54.0,-7.237203922215198E-4
55.0,-3.606803253376825E-4
56.0,3.4110293739537424E-4
57.0,0.0011749183123723403
58.0,0.0020373663480201445
59.0,0.0028754351289028857
60.0,0.003586577765270991
61.0,0.00419082160739475
62.0,0.004643301419565959
63.0,0.004960067359071032
64.0,0.005165497428841337
65.0,0.005284947942160952
66.0,0.00533954871741606
67.0,0.005350300237937516
68.0,0.005331744436700252
69.0,0.005295896024485011
70.0,0.005250619185613616
71.0,0.005202230101086799
72.0,0.0051547751821704405
73.0,0.005110363898065294
74.0,0.0050710436019967
75.0,0.00508518935520778
76.0,0.005057329414200404
77.0,0.005038054478873904
78.0,0.005030005556743242
79.0,0.005080382475459538
80.0,0.0050952348852500925
81.0,0.005165109093644897
82.0,0.005202424287287786
83.0,0.005282211901119863
84.0,0.005361477201462272
85.0,0.00544136908310291
86.0,0.005519045512204118
87.0,0.005595225303109378
88.0,0.005671511107317813
89.0,0.005751394409248763
90.0,0.0058292626185580294
91.0,0.0058907663595483915
92.0,0.005926047906922695
93.0,0.005947689324067322
94.0,0.005954367172978939
95.0,0.0059601231474033355
96.0,0.0059546701529821205
97.0,0.00592936117296166
98.0,0.005874463006114562
99.0,0.005774614423703299
100.0,0.005630581610448163
101.0,0.005462137246803018
102.0,0.0053002442461436965
103.0,0.005148456621645153
104.0,0.00507364263571536
105.0,0.0050436253080325556
106.0,0.005031499572850609
107.0,0.005055609206407834
108.0,0.005055180980144947
109.0,0.005067498079606358
110.0,0.00507290040984058
111.0,0.005074563923080377
112.0,0.005058542772356022
113.0,0.005059802255681412
114.0,0.00505729799019475
115.0,0.00506318897935866
116.0,0.005072046213274997
117.0,0.005087117023219748
118.0,0.0050964874456613934
119.0,0.005112066522805625
120.0,0.005132300452405026
121.0,0.005141820702479233
122.0,0.005162347361880161
123.0,0.0051728569297154175
124.0,0.005189233852833904
125.0,0.005196854626407638
126.0,0.005215200556842109
127.0,0.005215306233837674
128.0,0.005231033650136732
129.0,0.005230511883755328
130.0,0.00522969989154551
131.0,0.005231407663394942
132.0,0.0052313073186031275
133.0,0.005232852091018642
134.0,0.005233608512087045
135.0,0.0052344303926964274
136.0,0.005234978272463777
137.0,0.00523607403222839
138.0,0.005237059159663665
139.0,0.005238330115563282
140.0,0.005239145593116156
141.0,0.0052402818450445615
142.0,0.005238811355599102
143.0,0.0052398165109516035
144.0,0.00525360954039642
145.0,0.005260764529125852
146.0,0.005264073877141227
147.0,0.0052653294418363375
148.0,0.005265591842126757
149.0,0.005265416888557785
150.0,0.0052645086985127765
151.0,0.00526411495526579
152.0,0.005263643868475835
153.0,0.005262958159884021
154.0,0.005262476399384595
155.0,0.005261922174022399
156.0,0.005261320042289868
157.0,0.005261397730904038
158.0,0.005260494208720956
159.0,0.005259688295130205
160.0,0.005258712186246748
161.0,0.005257567010855091
162.0,0.005255642886316093
163.0,0.005253874992706365
164.0,0.0052518049005472935
165.0,0.005248440963338912
166.0,0.005244937214775992
167.0,0.0052421253954667065
168.0,0.005239575897458356
169.0,0.005237566042368731
170.0,0.00523699067105479
171.0,0.0052363850423988376
172.0,0.0052360187075570115
173.0,0.005235958480500699
174.0,0.005236178422413603
175.0,0.005236617018274865
176.0,0.0052371686361303935
177.0,0.005237727455762621
178.0,0.005239271437627891
179.0,0.005240290339952453
180.0,0.005240580119796549
181.0,0.005240927931923066
182.0,0.00524205695100213
183.0,0.005242521874873384
184.0,0.005243061678409088
185.0,0.005243567551291248
186.0,0.005244008423379401
187.0,0.00524436412064142
188.0,0.00524460752346354
189.0,0.005244756246493095
190.0,0.005244795117574499
191.0,0.005244723309812292
192.0,0.005244557277114011
193.0,0.00524425951786533
194.0,0.0052438057156474725
195.0,0.005243199779738587
196.0,0.005242475593873801
197.0,0.005241622495904482
198.0,0.00524000377847709
199.0,0.005238398942847345
200.0,0.005236886205852016
201.0,0.005236304989204009
202.0,0.005235767098014871
203.0,0.00523532425330199
204.0,0.0052350105002204154
205.0,0.005234846685712807
206.0,0.005234802669558586
207.0,0.005234887243857771
