"Iteration","cDf Monitor: cDf Monitor"
1.0,0.31893044487357003
2.0,0.3180113927069577
3.0,0.31467829386835494
4.0,0.31136089841894343
5.0,0.3077539160164397
6.0,0.30383471979660626
7.0,0.29958053805357054
8.0,0.294969315554149
9.0,0.28997973333899685
10.0,0.28459189022811754
11.0,0.2787879861134507
12.0,0.27255357341097375
13.0,0.26587779003125395
14.0,0.2587542421337893
15.0,0.2511844245546132
16.0,0.24318010518743535
17.0,0.23476334022041287
18.0,0.22597015131963885
19.0,0.21683870526332996
20.0,0.2074096017883776
21.0,0.19773342422466275
22.0,0.1878713143369564
23.0,0.17789581284530226
24.0,0.16788685402107284
25.0,0.15793024460317764
26.0,0.14811239240050553
27.0,0.1385218491067324
28.0,0.12924205595674473
29.0,0.12033816119241972
30.0,0.11186621835099325
31.0,0.1038615858733037
32.0,0.09634494868897123
33.0,0.08931629413959294
34.0,0.08276523259532503
35.0,0.07677258749994383
36.0,0.07118102970023132
37.0,0.06595124113435342
38.0,0.06105359803438315
39.0,0.056475553347968555
40.0,0.05221921748926422
41.0,0.04830512385205925
42.0,0.04477469614853024
43.0,0.041631781278314864
44.0,0.03885119140471787
45.0,0.036395382756737295
46.0,0.03422057837315661
47.0,0.03227597834139802
48.0,0.03050900090518341
49.0,0.028868086504063858
50.0,0.027310731781528968
51.0,0.025794005300522338
52.0,0.024305361197927585
53.0,0.02283762373420461
54.0,0.021395828887091902
55.0,0.019992285748012595
56.0,0.01865277411723007
57.0,0.017337058901865644
58.0,0.016096998250066753
59.0,0.01493721322847736
60.0,0.013858658527452161
61.0,0.012859064467390168
62.0,0.011935303485919074
63.0,0.011081633359631677
64.0,0.010292897711678746
65.0,0.009565543910024227
66.0,0.008896092691699614
67.0,0.00828138976449538
68.0,0.007719565690526144
69.0,0.0072095118606895735
70.0,0.0067511562809382366
71.0,0.0063453632462574325
72.0,0.005993006638147105
73.0,0.0056940367633470865
74.0,0.005447020190417258
75.0,0.005247635416679215
76.0,0.005089138945838504
77.0,0.0049647000039157434
78.0,0.0048676189359523675
79.0,0.004791848976835988
80.0,0.004733451194327928
81.0,0.0046891088059133465
82.0,0.004657313679450152
83.0,0.0046367659997620546
84.0,0.004620277975504675
85.0,0.004623683956165306
86.0,0.0046271373268274565
87.0,0.004641371626075924
88.0,0.004665212745773432
89.0,0.004698736170655677
90.0,0.004741960604029681
91.0,0.004796996936820096
92.0,0.004862444988081118
93.0,0.00493655083646306
94.0,0.005015388534750332
95.0,0.005098519380802024
96.0,0.005186537361730015
97.0,0.005277576970702956
98.0,0.00537040249678761
99.0,0.005462774563991242
100.0,0.005553904017818487
101.0,0.00564144625719187
102.0,0.005739104461607119
