"30.5% Span Bottom: Direction [1,0,0] (m)","30.5% Span Bottom: Pressure Coefficient","30.5% Span Top: Direction [1,0,0] (m)","30.5% Span Top: Pressure Coefficient"
1.202469179875203,0.19448875090817289,1.2068039053029098,-0.6312065049166848
1.202586498799593,-0.03794260130784072,1.21001156869238,-0.8150354456103828
1.2035320708874593,0.32980159053349795,1.214998732190128,-0.8770439566387978
1.2045119445709274,-0.6312065049166848,1.2200343001932246,-0.8160808389630669
1.2058468884259077,0.32980159053349795,1.2251526576348337,-0.8391173669279209
1.2116343328130053,0.2851937809174311,1.2303031928264283,-0.7653707973171563
1.2179974645736342,0.20063261513549668,1.2356103641844653,-0.7791904691753669
1.2236098989206574,0.19731538007695615,1.2389395891519581,-0.7269908644836728
1.2296312270552734,0.1670522905524935,1.2420077999285966,-0.7456401045253466
1.2364192429069343,0.1684108435503631,1.24726331301943,-0.6914198708245394
1.2435786056093434,0.15981448717972466,1.2509424062616377,-0.7076056192261575
1.250243922842067,0.15236735219973135,1.2544240945565122,-0.6626179714728323
1.2572190754748493,0.1547363464015098,1.2599052849595522,-0.6704604705352525
1.2655950869809256,0.1439654912988472,1.2630967692676085,-0.6268989816136886
1.2709220025239145,0.14827670585823086,1.2668726818575196,-0.6416774619722746
1.2738903942815318,0.13719488026462506,1.2745661090880407,-0.6205882246569546
1.280974508916449,0.13672201939032186,1.283492182066632,-0.5941317147164197
1.2912894200841953,0.11838482583186542,1.291869840380866,-0.5670883463809626
1.30101731197054,0.11319559446486846,1.2993157387868295,-0.5648115648446512
1.3086578610116097,0.08691841843982616,1.3070453409004688,-0.5379598093945867
1.3168807909077356,0.08082178775284415,1.3143688038678234,-0.5376496346632518
1.3237669059238404,0.059508966183300684,1.3234402604224182,-0.5171570534479667
1.3275545947903913,0.06952614012233621,1.3328565268781154,-0.49798464052582875
1.3321318009430445,0.03536799817328144,1.3392764141893743,-0.5016134673695803
1.3364852449357851,0.051829451965181496,1.344011927033415,-0.4863318755265691
1.3413291753342416,0.03091288399517546,1.34814340587539,-0.49250056203345216
1.3505247835606826,0.018968005702478363,1.3528321843022117,-0.4773343311160646
1.3575089319812639,-0.005674923892961214,1.3580139448084436,-0.48183503534792865
1.3618411571681825,-0.00108460424786873,1.362043715926752,-0.4657813907583235
1.3686408544034374,-0.022855043929980796,1.3668647355837984,-0.4702086119326043
1.3740201127980718,-0.01933552949238751,1.3713709307123478,-0.4567737979599647
1.3781977778113592,-0.0372838792617972,1.3755185306461049,-0.46364512633967236
1.3859754133718152,-0.04163557287802709,1.3801781002338642,-0.4524210168747834
1.3963022309331734,-0.06233306809539746,1.3858247045797036,-0.45596468001021345
1.4058570398971653,-0.06579822828627382,1.3899515155340354,-0.4409706349246557
1.4161050542502622,-0.08007518543213797,1.3946046702095023,-0.44390868730431404
