"Iteration","Tke: Residual","Sdr: Residual","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Z-momentum: Residual"
1.0,0.4846125099036062,0.0733412877625877,0.15171998588584504,0.26378077326534655,0.013585928104722518,0.013978030967610773
2.0,0.23410469060483458,0.9999999999999999,1.0,1.0,1.0,1.0
3.0,1.0,0.5640528189462505,0.5118662265778082,0.7950068648449132,0.734673098887611,0.7090600000008253
4.0,0.712934217507543,0.3444894054005168,0.5701741897260363,0.40801009796558624,0.39046718367398364,0.354070952914119
5.0,0.4677419726605407,0.19723259018749248,0.39107369597679037,0.26935369654419344,0.24720943930964587,0.21904149905716744
6.0,0.3078553167487729,0.1324271812798336,0.3577013401964291,0.2174519265866482,0.16333110351907984,0.16872917210680388
7.0,0.2091911781950016,0.07997628977118414,0.23605002045920692,0.20066310573901824,0.12514305376151216,0.15434728541721707
8.0,0.1456240635923287,0.048644788261048344,0.18548278034377194,0.18042547123911856,0.11440779711236412,0.14471038327388416
9.0,0.10004047709127961,0.03119567267503137,0.13076264693696274,0.1628978638623799,0.11910101245339993,0.1369204588805273
10.0,0.06724418848597392,0.021875537802604653,0.12199318536404063,0.15412648527463285,0.12707927729820673,0.12647392369940244
11.0,0.04513145431442621,0.014180680386433407,0.10284290101762167,0.16041088987636282,0.12937972963934355,0.11468536405498661
12.0,0.03130909160376617,0.008356692105972572,0.08351425391754996,0.1677814200058108,0.1270027607114139,0.10420553831809397
13.0,0.023866502271502825,0.005468317533266341,0.07668266240596645,0.16317978678293804,0.1252065179378698,0.09980073704618811
14.0,0.020004764111800053,0.0036755221164680176,0.05836644510307983,0.15075966846135486,0.12597373893492944,0.09630669888820172
15.0,0.017572728284595083,0.002916719496418398,0.05029387077558219,0.14260013341929884,0.12871187884809154,0.09633743904272021
16.0,0.015732786359417883,0.002799645095307339,0.04299259360265754,0.1333620398174946,0.13416510271891954,0.09805828744146754
17.0,0.014190850757133817,0.001745985294112486,0.03509276866699014,0.13332841853728744,0.13838238349435064,0.09938734452115863
18.0,0.012838994083308956,0.0017256479859268196,0.026007623279988484,0.1409019337986733,0.14294250486380705,0.1008217859808606
19.0,0.011637638559315416,8.892771347735946E-4,0.019532182443145373,0.14754146543023805,0.14703498305222126,0.10213392573891832
20.0,0.010567706890219283,7.318567415568502E-4,0.015500917933494304,0.14891989274046047,0.1509326048959349,0.10358650143280396
21.0,0.009613193713153749,5.814978506739323E-4,0.013445877439397187,0.1470273786623699,0.15513483150814952,0.10532059839161484
22.0,0.008757586760090428,3.804448792290141E-4,0.011973832740731535,0.145441546162622,0.15943838141013464,0.10719361684398337
23.0,0.008019752358521573,2.2397241679697144E-4,0.010394483689912519,0.14643051986162037,0.16372187546177988,0.10918190602185703
24.0,0.007306003493570699,1.800883889004254E-4,0.008999213048481784,0.14894565615123523,0.16808746413297806,0.11123512783121835
25.0,0.006605292300380582,2.091192394744719E-4,0.007960013001018961,0.1516349363446116,0.17244145873804553,0.11330097318859118
26.0,0.005895792910498873,1.9115364014645267E-4,0.0073734090060235975,0.15381117235225242,0.1766932892303129,0.11538594515382544
27.0,0.005224423005787961,2.0463833733293493E-4,0.007163442440857808,0.1556190088821623,0.18082170890915544,0.11745691922897454
28.0,0.004604266785881361,1.928947367296372E-4,0.007222692954302074,0.1573455279263807,0.18493267025547128,0.11956553903230543
29.0,0.0040500619267422495,1.4007757272730125E-4,0.007388460019928069,0.1591181610601576,0.18893525533917677,0.12163459567022633
30.0,0.00356784809864576,1.499367609437723E-4,0.007309368508247395,0.16087847262428212,0.19284862487340115,0.12365354334655752
31.0,0.003153495099639263,2.09868075353864E-4,0.007218586962914565,0.1625449176484174,0.19668534538838703,0.12566687416962624
32.0,0.0027979432921590923,3.3025622088150484E-4,0.007143998077715383,0.1639900126927731,0.20042032716698574,0.12761855442741019
33.0,0.0024930120410568786,5.461994908918809E-4,0.0070603183183282694,0.1652160968457841,0.2040755955240854,0.12953973807076455
34.0,0.0022301357234900806,8.893743503252524E-4,0.007004346301412286,0.16623635036287024,0.20767902876794703,0.13143893413569865
35.0,0.0020023751046395247,0.0013071089924229817,0.007034674146026682,0.16696801279181742,0.21113174411529978,0.13324949911473669
36.0,0.0018039156929479116,0.0016108295248503477,0.007024059941390292,0.16746100385455298,0.21453435417610708,0.1350251472388887
37.0,0.0016300904286149958,0.0015124318686271622,0.007023220970091978,0.16773506532691593,0.2178384593970415,0.13674623726463084
38.0,0.0014769528303420236,0.0010633052979394267,0.007028175319739023,0.16780930355187257,0.22102358266040203,0.1383896648324119
39.0,0.001341772292137913,8.792043495826692E-4,0.006985053159568983,0.16762064339713342,0.22408969179789834,0.13996642878764629
40.0,0.0012225949906580495,7.572958709506393E-4,0.006918644991138077,0.16719766904250877,0.22699028758671475,0.14147806746986785
41.0,0.0011172271234072384,6.33742320820958E-4,0.0068695242081223944,0.16659968313976212,0.22974384136170367,0.14291521541159102
42.0,0.0010235829992760244,4.0882633126494277E-4,0.006825646317997252,0.16580994458683976,0.2323061527168366,0.14426999212174
43.0,9.402129841792521E-4,2.926892363126095E-4,0.006818473388917749,0.16483122762014046,0.23469146918303535,0.14553761148664057
44.0,8.656928762384354E-4,2.1181814864096372E-4,0.006830730814169187,0.16373162517561346,0.23683076678112883,0.14670457167679365
45.0,7.985878488703332E-4,1.6587381888638053E-4,0.0068636129842358715,0.1625558830185725,0.23877743216402536,0.14776673252136743
46.0,7.380052869283567E-4,1.655781012877608E-4,0.0068784863752037705,0.1612830091358159,0.24050313124818154,0.1487194933404256
47.0,6.833203186486509E-4,1.3424930281302985E-4,0.006883192340852905,0.1599833336203158,0.2419000531761007,0.1495438594097622
48.0,6.33632686771014E-4,9.496886706607877E-5,0.006829374096513854,0.15874194626314655,0.24326765697562067,0.15035400287130232
49.0,5.883488081429022E-4,6.27171434037009E-5,0.006871581762575252,0.15751166993331694,0.2441627019679831,0.15102029379503976
50.0,5.468411471515734E-4,4.5573258259772345E-5,0.006883421913102569,0.15634039761740162,0.24501345232393962,0.15165067220974637
51.0,5.087650710889595E-4,4.039075239311195E-5,0.0068827987947231205,0.15532102083448387,0.24543014784714584,0.15213569885416015
52.0,4.739274304043039E-4,4.023709757955619E-5,0.006894788426661291,0.15448879382555392,0.24570276883099498,0.15255688420637
53.0,4.418524026959605E-4,3.4809469228692365E-5,0.006874218372840867,0.153747472701564,0.24578320516243218,0.1528920392038224
54.0,4.1225427981246766E-4,3.453374847835003E-5,0.0068302447052999695,0.15317615045258998,0.24563020585039796,0.1531400958370892
55.0,3.8494072158586415E-4,3.271354292524111E-5,0.0067783095978279275,0.15278161083188638,0.24527117277872623,0.15332175421263478
56.0,3.596224142098687E-4,2.3871467810415936E-5,0.006737061793869672,0.15247758496698946,0.24476144293508037,0.15343131433732135
57.0,3.363834182593064E-4,2.7823210461596993E-5,0.006707760179662342,0.1522102633251474,0.24407953234315635,0.15350463136744982
58.0,3.149871486820984E-4,2.353523052492936E-5,0.006672141325219962,0.1519617782349188,0.2432804364190607,0.1535233057022439
59.0,2.953780251884107E-4,2.065796962357807E-5,0.006624114236910704,0.15171854897396891,0.24235642463650342,0.153506872438095
60.0,2.7734403122591113E-4,1.9082248567119068E-5,0.006569129709011983,0.15149916507052327,0.24134627124655095,0.15345753640450188
