"Iteration","cDf Monitor: cDf Monitor"
1.0,0.31928505331878176
2.0,0.3183650475994599
3.0,0.315028884679991
4.0,0.3117083907324187
5.0,0.30809780438251055
6.0,0.304174304584608
7.0,0.2999151615629058
8.0,0.29529817161077154
9.0,0.2903019963216705
10.0,0.28490672530039507
11.0,0.2790945783445744
12.0,0.2728512025888693
13.0,0.26616579406437635
14.0,0.2590315957252635
15.0,0.2514504670477034
16.0,0.24343540062871444
17.0,0.23500994352570137
18.0,0.226210324923485
19.0,0.21707366387139113
20.0,0.2076400888095632
21.0,0.19795975303512361
22.0,0.18809353770353837
23.0,0.17811267691403193
24.0,0.16809615554238866
25.0,0.15812941783142936
26.0,0.14830177436442024
27.0,0.138701307504011
28.0,0.12941423399263516
29.0,0.1205062517825669
30.0,0.11203158320468423
31.0,0.10402992552251979
32.0,0.09652221544866167
33.0,0.08951053513017963
34.0,0.0829857213132747
35.0,0.07692147131297336
36.0,0.07136088644677373
37.0,0.06617024446362375
38.0,0.061315468480993354
39.0,0.056768878386848375
40.0,0.052517761734003646
41.0,0.04857330097813957
42.0,0.04497302333553708
43.0,0.04172703034360935
44.0,0.038814492157772676
45.0,0.03620814651705927
46.0,0.03387984806813264
47.0,0.031797798238007054
48.0,0.02992925324892809
49.0,0.028234607113933316
50.0,0.026673071296777255
51.0,0.02519979263774334
52.0,0.023794783771706355
53.0,0.022435593798409443
54.0,0.021108464544340896
55.0,0.019808991983116052
56.0,0.018542245624202962
57.0,0.017319305043910188
58.0,0.016147339932971686
59.0,0.015022126234183305
60.0,0.01397800910263025
61.0,0.012980387267996413
62.0,0.012053079700185761
63.0,0.011195090635711256
64.0,0.010401566900555957
65.0,0.009669722972802951
66.0,0.008996578437605133
67.0,0.0083788033733098
68.0,0.007814468452220119
69.0,0.007302094983865298
70.0,0.006841483888033157
71.0,0.006432384428292479
72.0,0.006075419975041514
73.0,0.005770195723883418
74.0,0.005514693534188519
75.0,0.005297800001588464
76.0,0.005128364492414871
77.0,0.004991041685652175
78.0,0.004879365425888873
79.0,0.004781520719208929
80.0,0.0047070874360585725
81.0,0.004637593081079449
82.0,0.004594072966109276
83.0,0.004555082182702034
84.0,0.004532577932826714
85.0,0.004523336014753545
86.0,0.004527303017160546
87.0,0.004544233866097248
88.0,0.004574601061834563
89.0,0.004617251459729689
90.0,0.0046712734957629985
91.0,0.004735724324449783
92.0,0.004807767626406656
93.0,0.004882636610566303
94.0,0.004960481718906776
95.0,0.005040528693499568
96.0,0.005125626737673986
97.0,0.005216365695318485
98.0,0.005308513702772494
99.0,0.0054002656923455555
100.0,0.005491177394820662
101.0,0.0055875751782083535
102.0,0.00567370309109309
103.0,0.005751036106566309
104.0,0.0058244649540308314
105.0,0.005888059446098769
106.0,0.005951524432154399
107.0,0.006012538103626935
108.0,0.006071286232361831
109.0,0.006121767151435093
110.0,0.006168179122577047
111.0,0.006213226167760233
112.0,0.006261119539650731
113.0,0.00630278850596645
114.0,0.006344608986793525
115.0,0.006383634734925963
116.0,0.0064195412599878324
117.0,0.006453492344214613
118.0,0.006484872975474113
119.0,0.006513639433503322
120.0,0.006539353694142214
121.0,0.006563567525981008
122.0,0.006584829271477387
123.0,0.00660467694235663
124.0,0.006622389649481051
125.0,0.006638875380187737
126.0,0.0066529327517880705
127.0,0.006667008804899299
128.0,0.0066783550358583054
129.0,0.006689772928155461
130.0,0.006700196718964955
131.0,0.006709587468830573
132.0,0.006718339432039749
133.0,0.006726214994307092
134.0,0.006733579837009198
135.0,0.0067403648798445405
136.0,0.0067466627271956445
137.0,0.006752441456822018
138.0,0.006757761822762952
139.0,0.006762708346694098
140.0,0.006767336790984147
141.0,0.006771644190231208
142.0,0.006775851110192907
143.0,0.0067796066495367
144.0,0.006781199028643226
145.0,0.006783308356400202
146.0,0.006785666116808221
147.0,0.006788037437369996
148.0,0.006790327274543445
149.0,0.006792473187933064
150.0,0.006794848793792203
